Drug Name,Article Content,Side Effects
Azathioprine,"Azathioprine is a type of medicine called an immunosuppressant. Immunosuppressants help to calm or control your body's immune system. This medicine helps treat inflammatory conditions such as: rheumatoid arthritis Crohn's disease and ulcerative colitis severe inflammation of the liver, skin or arteries some blood disorders If you've had a transplant, taking azathioprine can prevent your body from rejecting your new organ. Azathioprine is sometimes also used to treat conditions that affect the skin, such as lupus or severe atopic eczema . Azathioprine is available on prescription only. You'll usually be prescribed this medicine by a specialist doctor. It comes as tablets. It's also available as an injection, but this is usually only given in hospital. Key facts You'll have regular blood tests before and during your treatment to check for any problems with your liver, kidneys or bone marrow. Depending on why you're taking azathioprine, you'll usually notice an improvement in your condition after a few weeks, but it may be a few months before you see the full effect. Taking azathioprine can mean you're more likely to get infections. Ask your doctor for urgent advice if you get an infection, such as coronavirus (COVID-19), or if you've been in contact with anyone who has chickenpox or shingles while taking azathioprine. It's important to have any vaccinations when you're invited. Tell the person giving the vaccine that you take azathioprine, to make sure the vaccine is suitable for you. Use a sunscreen while taking azathioprine, as this medicine can make your skin more sensitive to sunlight. It's best not to drink too much alcohol, as azathioprine and alcohol can both affect your liver.",
Azithromycin,"Azithromycin is an antibiotic medicine. It's used to treat infections including: chest infections such as pneumonia ear, nose and throat and nose infections such as sinus infection (sinusitis) skin infections Lyme disease some sexually transmitted infections (STIs) It can also be used long-term to prevent chest infections in people who keep getting them. Azithromycin is from a group of medicines called macrolide antibiotics. Macrolide antibiotics work by killing the bacteria that cause the infection. Azithromycin is available on prescription as capsules, tablets and a liquid that you swallow. It can also be given by injection, but this is usually only done in hospital. Key facts You'll usually take azithromycin once a day. Try to take it at the same time each day. Take azithromycin capsules at least 1 hour before food or 2 hours after eating. You can take tablets or liquid with or without food. For most infections you should feel better within a few days, but it's important to finish your full course of medicine. The most common side effects of azithromycin are feeling or being sick, diarrhoea, headaches, or changes to your sense of taste. Some people get a fungal infection called thrush after taking a course of antibiotics like azithromycin. Symptoms of thrush in the mouth include redness and itching. Women may get vaginal itching.","The most common side effects of azithromycin are feeling or being sick, diarrhoea, headaches, or changes to your sense of taste."
Baclofen,"Baclofen is a muscle relaxant. It's used to relieve muscle spasms, cramping or tightness caused by conditions such as: cerebral palsy meningitis motor neurone disease multiple sclerosis conditions affecting your brain, spinal cord and nervous system Baclofen is available on prescription. It comes as tablets or a liquid that you swallow. If baclofen tablets or liquid do not work well for you or your child, you may be prescribed a baclofen injection. This will be given by a specialist doctor in hospital. Baclofen can also be given through a pump that is fitted under the skin. Key facts Baclofen reduces pain and discomfort caused by muscle spasms. The tablets and liquid start to work after 1 hour after taking it. However, it might take a few days before you find the right dose to control your symptoms. Common side effects include feeling sleepy and feeling sick (nausea). If your doctor decides to stop your treatment, your dose will be reduced gradually over 1 to 2 weeks. It's best not to drink alcohol while you are taking baclofen until you know how it affects you. There's a risk alcohol may increase drowsy side effects and make you very sleepy.",
Beclometasone-inhalers,"Beclometasone is a type of medicine known as a steroid (also called a corticosteroid). It's mainly used for asthma , but also sometimes for chronic obstructive pulmonary disease (COPD). Steroids closely copy the effects of natural hormones produced in your adrenal glands. The adrenal glands are above your kidneys. Steroid inhalers work as a preventer by calming down your immune system. This reduces the swelling in your lungs that makes it difficult to breathe. You can take beclometasone using an inhaler (sometimes called a ""puffer""), which is usually brown or beige, or sometimes red or pink. This is called a ""preventer"" inhaler because it helps to prevent you from getting symptoms. Beclometasone on its own does not work as a reliever (to relieve any symptoms when you get them). It cannot treat an asthma attack when you suddenly get coughing, wheezing and breathlessness. Some inhalers contain beclometasone mixed with other medicines that help your breathing ( bronchodilators ). A beclometasone inhaler containing formoterol (brand names Fostair or Luforbec) may be used as both a preventer and a reliever for asthma. Beclometasone also comes as nose spray (nasal spray) – for hay fever and cold-like symptoms caused by common allergies (rhinitis) cream and ointment – for skin conditions such as eczema and psoriasis tablets – for ulcerative colitis Key facts A beclometasone inhaler does not work straight away. You need to use your beclometasone inhaler every day for it to work, even if you do not have any symptoms. It's important to rinse your mouth or brush your teeth after using a steroid inhaler. This is to prevent infections and a sore mouth. You may get a blue steroid treatment card if you need high doses of beclometasone to control your symptoms. You may also need to carry a steroid emergency card. Ask your pharmacist or doctor about these. You'll usually be given another inhaler, called a reliever, to relieve your symptoms when they happen.",
Beclometasone-nasal-spray,"Beclometasone nasal (nose) spray is used to treat cold-like symptoms caused by allergic rhinitis . This is swelling (inflammation) of the inside of your nose that can be brought on by allergies like hay fever . Beclometasone (also called ""beclomethasone"") is a type of medicine known as a steroid (or corticosteroid). Corticosteroids are a copy of a substance the body makes naturally. They’re not the same as anabolic steroids . Beclometasone nasal spray is available on prescription for adults and children aged 6 years old and over. You can also buy it from pharmacies and shops for adults aged 18 years old and over. Beclometasone also comes as: an inhaler – for asthma and chronic obstructive pulmonary disease (COPD) cream and ointment – for skin conditions such as eczema and psoriasis tablets – for ulcerative colitis Key facts You need to use beclometasone nasal spray regularly for it to work. Beclometasone nasal spray takes a few days to work fully. For some people it can take 2 weeks or more to get the maximum benefits. The most common side effects are an unpleasant taste or smell, and a dry or sore throat. If your doctor has prescribed high doses of beclometasone to control your symptoms, you may need to carry a steroid emergency card. Ask your pharmacist or doctor.","The most common side effects are an unpleasant taste or smell, and a dry or sore throat."
Beclometasone-tablets,"Beclometasone tablets are used to treat ulcerative colitis . They work by reducing swelling (inflammation) in your gut. They're usually taken alongside other medicines for ulcerative colitis. Beclometasone is a type of medicine called a steroid (or corticosteroid). Steroids are copies of hormones your body makes naturally. They are not the same as anabolic steroids . Beclometasone tablets are only available on prescription. They come as slow release tablets. This means that the medicine is released into your body slowly throughout the day. Beclometasone also comes as: an inhaler to treat asthma and chronic obstructive pulmonary disease (COPD) a nasal spray to treat hay fever and allergy symptoms skin creams to treat conditions such as eczema and psoriasis Key facts You'll usually take 1 beclometasone tablet a day, for up to 4 weeks. It's best to take it in the morning before breakfast. You need to take them regularly for the medicine to work fully. Keep taking them for as long as your doctor tells you, even if you feel better. You'll get a blue steroid card from your pharmacist or doctor if you're taking beclometasone for more than 3 weeks. Show this card to your doctor or dentist before any treatment, so they know you're taking it. You may also need to carry a red steroid emergency card if you take repeated courses of beclometasone, or if you take other steroids at the same time. Beclometasone can sometimes give you blurred vision. If this happens, do not drive or ride a bike until your vision is back to normal. You can drink alcohol while taking beclometasone tablets but if you have ulcerative colitis, alcohol may make your symptoms worse.",
Benzoyl-peroxide,"Benzoyl peroxide is used to treat acne . It works as an antiseptic to reduce the number of germs (bacteria) on the surface of your skin. It's usually one of the first treatments recommended for mild to moderate acne. It comes as a gel or face wash containing 5% benzoyl peroxide. This is available to buy from pharmacies or shops with the brand name Acnecide. Benzoyl peroxide is sometimes mixed with potassium hydroxyquinoline sulfate. This is an antimicrobial ingredient that kills micro-organisms on your skin. It's sold in pharmacies as Quinoderm cream. Some benzoyl peroxide products are available on prescription only. This is because they contain other medicines such as antibiotics or retinoids (exfoliants). For example, Duac Once Daily contains benzoyl peroxide and clindamycin, an antibiotic. Epiduo gel contains benzoyl peroxide and adapalene, a retinoid. Many popular skincare brands also make products that contain benzoyl peroxide, but at a lower strength. These are available to buy in pharmacies, supermarkets and shops. Brands include Clean & Clear, Neutrogena and Clearasil. Key facts Benzoyl peroxide 5% gel or wash takes around 4 weeks to start working. It can take 2 to 4 months to have full effect. You'll usually use it 1 or 2 times a day. The most common side effect is skin irritation. If this happens it's better to use it less often at first, then build up as your skin gets used to it. Try to avoid strong sunlight while using benzoyl peroxide gel. Use an oil-free sunscreen with SPF30 or above. Ask a pharmacist for advice on which sunscreen is right for your skin type. Keep benzoyl peroxide away from your hair and clothes, as it can bleach and discolour them.",
Benzydamine,"Benzydamine is an NSAID (non-steroidal anti-inflammatory drug) that reduces pain and swelling (inflammation). It's used to treat mouth ulcers , sore throats , sore tongue or gums, and teething in babies. It may also be used to treat pain caused by dentures or dental surgery. Benzydamine comes as a mouthwash, mouth spray or lozenge. This means it will only help with pain in the mouth. It will not work on pain in any other part of the body. It's available on prescription or to buy from a pharmacy. Key facts You'll usually use benzydamine to treat a sore mouth or sore throat for up to 7 days. Your symptoms will usually start to improve a few minutes after using benzydamine. The effects should last for a few hours. Benzydamine mouthwash contains more alcohol than benzydamine spray. Do not give the mouthwash to children until they are 13 years old. You may get a stinging or numb feeling in your mouth after using benzydamine.",
Betahistine,"Betahistine is a medicine used to treat the symptoms of Ménière's disease . These symptoms include: feeling dizzy and a spinning sensation ( vertigo ) ringing in the ears ( tinnitus ) loss of hearing feeling sick (nausea) The full name of this medicine is betahistine dihydrochloride. It's thought to work by reducing build-up of fluid in the inner ear. This helps to reduce how often you get Ménière's disease symptoms and to make them milder. It comes as tablets and is available on prescription only. Key facts You'll usually take betahistine 3 times a day, leaving 6 to 8 hours between doses. When you start taking betahistine it may take a couple of weeks before you notice any improvements. Common side effects include headache, feeling sick or indigestion. They're usually mild and do not last long. It's best to take your tablets with or after food. This way it's less likely to upset your stomach.",
Betamethasone-tablets,"Betamethasone is used to treat a range of conditions including: allergies autoimmune conditions such as rheumatoid arthritis blood disorders inflammatory skin conditions inflammatory bowel disease cancer of the bone marrow ( multiple myeloma ), acute and lymphatic leukaemia, and cancer of the lymph nodes (lymphoma) congenital adrenal hyperplasia (an inherited condition causing swollen adrenal glands) to prevent organ rejection after a transplant It's also sometimes known as betamethasone sodium phosphate. Betamethasone is a type of medicine called a steroid (or corticosteroid). Steroids are copies of hormones your body makes naturally. They are not the same as anabolic steroids. Betamethasone works by reducing swelling (inflammation). It also calms down your immune system, which can help in autoimmune conditions, where your immune system attacks your own body. Betamethasone is only available on prescription. It comes as soluble tablets that you swallow or dissolve in water. It can also be given by injection but this is usually only done in hospital. Betamethasone also comes as an eye ointment, eye, ear and nose drops, and different types of medicines used to treat skin conditions. Read about: betamethasone for eyes, ears and nose betamethasone for skin Key facts You'll usually take betamethasone tablets once a day. It's best to take them in the morning after breakfast. Common side effects include weight gain, indigestion and sleep problems. Betamethasone tablets can cause withdrawal side effects if you stop taking them suddenly. Do not stop taking the medicine suddenly if you've been taking it for more than a few weeks. Taking betamethasone tablets can mean you're more likely to get infections. Tell your doctor if you get an infection, such as coronavirus (COVID-19), or if you come into contact with anyone who has shingles, chickenpox or measles. These infections can make you very ill. If you take betamethasone tablets for more than 3 weeks, or you're on a high dose, you'll get a blue steroid card from your pharmacist or doctor. You may also need to carry a red steroid emergency card. Show this card to your doctor or dentist before any treatment, so they know you're taking it. Do not eat real natural liquorice or drink liquorice tea while taking betamethasone. It could increase the risk of side effects.",
Bisacodyl,"Bisacodyl is a laxative. This type of medicine can help you empty your bowels if you have difficulty pooing ( constipation ). Bisacodyl is also used in hospitals to help you empty your bowels before surgery or some examinations or treatments. Your hospital will explain how to use it. Bisacodyl comes as a tablet and a suppository, which is a medicine that you push gently into your anus (bottom). The tablets and suppositories are available on prescription. You can also buy them from pharmacies. Smaller packs (up to 20 standard strength tablets or 10 maximum-strength tablets) can also be bought for adults from pharmacies and shops. Before trying bisacodyl, it's better to try other ways to help your constipation by: having more fibre in your diet and drinking more water exercising Only use bisacodyl if you have tried other types of laxatives first such as: bulk-forming laxatives like Fybogel (ispaghula husk) osmotic laxatives like lactulose and macrogol Key facts Bisacodyl is known as a stimulant laxative. It works by helping your bowel move and also softens your poo so you can poo more easily. Bisacodyl tablets take 6 to 12 hours to work. The suppositories take 10 to 45 minutes to work, so it's best to stay close to a toilet after you've used them. The most common side effects are feeling sick (nausea), diarrhoea and stomach pain or cramps. Only give bisacodyl to children and young people if a doctor or pharmacist recommends it. Do not take bisacodyl tablets or use bisacodyl suppositories every day for more than 5 days.","The most common side effects are feeling sick (nausea), diarrhoea and stomach pain or cramps."
Bisoprolol,"Bisoprolol is a beta blocker medicine used to treat high blood pressure (hypertension) and heart failure . If you have high blood pressure, taking bisoprolol helps prevent future heart disease, heart attacks and strokes . Bisoprolol is also used to prevent chest pain caused by angina . It's also used to treat atrial fibrillation and other conditions that cause an irregular heartbeat. It works by slowing down your heart rate and making it easier for your heart to pump blood around your body. Bisoprolol is only available on prescription. It comes as tablets. Key facts Bisoprolol starts to work after about 2 hours to reduce high blood pressure, but it can take 2 to 6 weeks to fully take effect. Your very first dose may make you feel dizzy, so take it at bedtime. After that, if you do not feel dizzy, it's best to take it in the morning. You'll usually take bisoprolol once a day in the morning. The main side effects are feeling dizzy or sick, headaches, cold hands or feet, constipation or diarrhoea. These are usually mild and do not last for long. It's best to stop drinking alcohol when you first start taking bisoprolol, or when your dose increases, until you see how the medicine affects you. Tell your doctor that you're taking bisoprolol if you're going to have an anaesthetic. You may need to stop taking it 48 hours before surgery.",
Brinzolamide,"Brinzolamide is a medicine that treats high pressure inside the eye (ocular hypertension) and glaucoma . High pressure can happen when too much fluid builds up inside your eye. If it's not treated, high pressure in the eye can damage your optic nerve and cause vision loss or blindness. Most cases of glaucoma are caused by a build-up of pressure in the eye when the fluid cannot drain properly. The pressure damages the optic nerve. Brinzolamide helps the eye to produce less fluid. Brinzolamide is available on prescription only. It comes as eye drops. The bottle of eye drops contains a preservative (benzalkonium chloride) to keep it sterile. Your doctor may also prescribe timolol or brimonidine eye drops to use with brinzolamide. There are some combined eye drops. The brand Azarga contains brinzolamide and timolol, and Simbrinza contains brinzolamide and brimonidine. Key facts You'll usually use brinzolamide eye drops 2 or 3 times a day. It may take up to 4 weeks for brinzolamide eye drops to work fully. If it works for you, you'll usually use brinzolamide for the rest of your life. It's important to use your eye drops regularly and to go for check-ups, to make sure your vision is not getting worse. Common side effects include an itchy or painful eye and a feeling that something's in your eye. If you have blurred vision after you put the eye drops in, do not drive, cycle, or use machinery or tools until you can see clearly again.",
Budesonide-inhalers,"Budesonide inhalers are a steroid medicine that's used for asthma and chronic obstructive pulmonary disease (COPD) . Steroids (also known as corticosteroids) work because they closely copy the effects of natural hormones. Steroid inhalers prevent and reduce the swelling (inflammation) that can happen in your lungs if you have asthma or COPD. This swelling can sometimes make it difficult to breathe. You can take budesonide using an inhaler (sometimes called a ""puffer""), which is usually brown or beige. This is called a preventer inhaler because it helps to prevent you from getting symptoms. Budesonide on its own does not work as a reliever (a medicine that relieves symptoms when you get them). It cannot treat an asthma attack when you suddenly get coughing, wheezing and breathlessness. Some inhalers contain budesonide mixed with other medicines that help your breathing ( bronchodilators ). A budesonide inhaler containing formoterol can be used as both a preventer and a reliever for asthma and COPD. Brand names include Symbicort Turbohaler, DuoResp Spiromax, Fobumix Easyhaler and WockAIR. Budesonide also comes as: a nasal spray – for allergic rhinitis, hay fever and nasal polyps tablets , including tablets that dissolve on your tongue, capsules and granules – for inflammatory conditions such as Crohn's disease, ulcerative colitis, autoimmune hepatitis and eosinophilic oesophagitis rectal foam and enemas – for ulcerative colitis a nebuliser liquid If you have severe asthma or COPD, you may need to use a nebuliser. A nebuliser helps you breathe in your medicine as a mist, using a mask or a mouthpiece. You can use a nebuliser in hospital, or you may be given one to manage your condition at home. Budesonide nebuliser liquid comes in individual doses called nebules or respules. Key facts A budesonide inhaler does not work straight away. You need to use it every day for it to work, even if you do not have any symptoms. It's important to rinse your mouth or brush your teeth after using a steroid inhaler. This is to prevent infections and a sore mouth. You may get a blue steroid treatment card if you need a high dose of budesonide inhaler to control your symptoms. You may also need to carry a red steroid emergency card. Ask your pharmacist or doctor about these. You'll usually be given another inhaler called a reliever to help your symptoms when they happen. Or you may be given an inhaler containing budesonide and formoterol that can be used as both a preventer and a reliever. You'll usually be given a combined inhaler if you have COPD.",
Budesonide-nasal-spray,"Budesonide nasal (nose) spray is used to treat cold-like symptoms caused by allergic rhinitis . This is swelling (inflammation) of the inside of your nose that can be brought on by allergies like hay fever . It's also used to shrink nasal polyps (painless, soft growths inside the nose) to relieve a blocked nose. Budesonide is a type of medicine called a steroid (or corticosteroid). Steroids are a copy of a substance your body makes naturally. They're not the same as anabolic steroids . Budesonide nasal spray is available on prescription for adults and children aged 6 years old and over. You can also buy it from pharmacies and shops for adults aged 18 years old and over. Budesonide also comes as: an inhaler – for asthma and chronic obstructive pulmonary disease (COPD) tablets , including tablets that dissolve on your tongue, capsules and granules – for inflammatory conditions such as Crohn's disease, ulcerative colitis, autoimmune hepatitis and eosinophilic oesophagitis rectal foam and enemas – for ulcerative colitis Key facts You need to use budesonide nasal spray regularly for it to work. For allergic rhinitis, budesonide nasal spray takes a few days to work. For some people, it can take several weeks to work fully. For nasal polyps, it can take 1 to 2 months for symptoms to get better. The most common side effects are sneezing, nosebleeds and a dry or sore nose.","The most common side effects are sneezing, nosebleeds and a dry or sore nose."
